Title,Type,Due,Priority,Status,Related,Notes
Verify Tier 1 registration on FDA registered-outsourcing-facilities page + sweep missed facilities,Other,,Critical,Open,gtm/supplier-targets.md,10 min in browser; agent research covered ~37 of 93
Register AZ trade name (DBA) for agency brand,Other,,High,Open,10-regulatory-research.md s8,AZ SOS $10
Get E&O + GL quote naming this line of business,Other,,High,Open,RC10,Disclose pharma-marketing activity to insurer
Buy brand domain + 2 sending variants; SPF/DKIM/DMARC; start warm-up,Other,,Critical,Open,automations.md,Longest lead time - start first
Find owner/BD contact for each Tier 1 supplier; verify emails,Follow Up,,High,Open,suppliers,LinkedIn + site; MillionVerifier before send
Stand up Instantly workspace; wire webhooks to Make,Other,,High,Open,automations.md,
Approve supplier recruitment templates A1-A4 (founder + compliance pass),Review Due,,High,Open,gtm/outreach-templates.md,Two-checkbox approval in Approve interface
Calendar 60-day re-check on Watch-list suppliers,Review Due,,Normal,Open,suppliers,2026-09-27
"Verify CA/AL/NJ carve-outs with boards - CA is the biggest med spa market in the US",Review Due,,High,Open,docs/10-regulatory-research.md s6,"Ask each board: may an in-state licensed practitioner purchase non-patient-specific compounded preparations for office administration from a nonresident 503B licensed in this state? Read CA BPC 4129.1-4129.2 + SB 1193; NJAC 13:39-11.18; Ala 680-X-2-.23 (amended 2025-26); record answer as compliance review before flipping any carve-out"
"Resolve Georgia controlled-substance exclusion before any TRT campaign",Review Due,,High,Open,gtm/state-office-use-matrix.md,"O.C.G.A. 26-4-86 excludes Schedule II-V from office-use designation - would bar compounded testosterone office stock. Ambiguous whether it binds 503B shipments. Get GA board opinion before pitching TRT clinics in GA"
"Verify license-lookup portal URLs before Verify workbench go-live",Verification Due,,Normal,Open,mvp/license-portals-unverified.md,"Every URL in that file was assembled from search and none was loaded - confirm each portal loads and searches as expected, correct the file as you go"
